Star ID,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12
142,1,6,8,11,10,13,18,22,20,25,32,38
142,1,6,8,10,10,13,18,22,20,25,32,38
142,1,5,9,11,10,13,17,23,20,25,32,38
142,1,6,8,11,10,13,18,22,20,25,32,38
142,1,6,8,11,10,13,18,22,20,25,32,38
142,1,6,8,11,10,13,18,22,20,25,32,38
142,1,6,8,11,11,13,18,22,20,25,32,38
142,1,6,8,11,10,13,18,22,20,25,32,38
142,1,6,8,11,10,13,18,22,20,25,32,38
142,1,6,8,11,10,13,18,22,20,25,32,38
142,1,6,8,11,10,14,17,22,20,25,32,38
142,1,6,8,11,11,13,17,23,20,25,32,38
142,1,5,9,11,11,13,18,22,20,25,32,38
142,1,6,8,11,11,14,17,22,20,25,32,38
142,1,6,8,10,10,13,18,22,20,25,32,38
180,2,6,8,8,9,16,15,19,23,25,22,36
180,2,6,8,8,9,16,15,19,23,25,22,36
180,2,6,8,8,9,17,15,18,24,25,22,36
180,2,6,8,8,8,16,15,19,23,25,22,36
180,2,6,8,8,9,16,15,19,23,25,22,36
180,2,6,8,8,9,16,15,19,23,25,22,36
180,2,6,8,8,9,16,15,19,23,25,22,36
180,2,6,8,8,9,17,15,19,23,25,22,36
180,2,6,8,8,9,17,15,19,23,25,22,36
180,2,6,8,8,9,16,15,19,23,25,22,36
180,2,6,9,7,9,16,15,19,23,25,22,36
180,2,6,8,8,9,16,15,18,24,25,22,36
180,2,6,8,8,8,16,15,18,24,25,22,36
180,2,6,8,8,9,17,15,18,24,25,22,36
180,2,6,8,8,9,16,15,19,23,25,22,36
307,1,7,4,10,11,13,17,18,18,24,34,27
307,1,7,4,10,11,13,17,18,18,24,34,27
307,1,7,4,10,11,13,17,18,18,24,34,27
307,1,7,4,10,11,13,17,18,18,24,34,27
307,1,7,4,10,11,13,17,16,19,24,34,27
307,1,7,4,10,11,13,17,17,18,24,34,27
307,1,7,4,10,11,12,18,18,18,24,34,27
307,1,7,4,10,11,13,17,18,18,24,34,27
307,1,7,4,10,11,13,17,17,19,24,34,27
307,1,7,4,10,11,13,17,16,19,24,34,27
307,1,7,4,10,11,13,17,17,19,24,34,27
307,1,7,4,10,11,13,17,17,18,24,34,27
307,1,7,4,10,11,13,17,15,20,24,34,27
307,1,7,4,10,11,13,17,17,18,24,34,27
307,1,7,4,10,11,13,17,16,19,24,34,27
343,2,4,9,10,9,20,13,14,33,19,38,46
343,2,4,9,11,9,20,13,15,32,19,38,46
343,2,4,9,10,8,20,13,14,33,19,38,46
343,2,4,9,10,9,20,13,14,33,19,38,46
343,2,4,9,10,9,20,13,14,33,19,38,46
343,2,4,9,10,9,20,13,14,33,19,38,46
343,2,4,9,10,9,20,13,14,33,19,38,46
343,2,4,9,10,9,20,13,15,32,19,38,46
343,2,4,9,10,8,20,13,15,32,19,38,46
343,2,4,9,10,9,20,13,14,33,19,38,46
343,2,4,9,11,9,20,13,14,33,19,38,46
343,2,4,9,10,9,20,13,14,33,19,38,46
343,2,4,9,10,9,20,13,14,33,19,38,46
343,2,4,9,10,9,20,13,14,33,19,38,46
343,2,4,9,10,9,20,13,14,33,19,38,46
432,3,7,7,8,8,19,13,12,28,30,35,36
432,3,7,7,8,9,19,13,12,28,30,35,36
432,3,7,7,8,8,19,13,12,28,31,34,36
432,3,7,7,8,9,19,13,12,28,30,35,36
432,3,7,7,8,8,19,13,12,28,31,34,36
432,3,7,7,8,8,19,13,12,28,31,34,36
432,3,7,7,8,8,19,13,12,28,30,35,36
432,3,7,7,8,9,19,13,12,28,30,35,36
432,3,7,7,8,8,19,13,12,28,30,35,36
432,3,7,7,8,8,19,13,12,28,30,35,36
432,3,7,7,8,8,19,13,12,28,30,35,36
432,3,7,7,8,8,19,13,12,28,30,35,36
432,3,7,7,8,9,19,13,12,28,30,35,36
432,3,7,7,7,9,19,13,12,28,31,34,36
432,3,7,7,8,8,19,13,12,28,30,35,36
499,2,8,7,7,14,13,13,13,22,37,29,33
499,2,8,7,7,14,14,12,13,22,37,29,33
499,2,8,7,7,13,12,13,13,22,37,29,33
499,2,8,7,7,13,13,13,12,23,37,29,33
499,2,8,7,7,13,13,13,13,22,37,29,33
499,2,8,7,7,13,13,13,12,23,37,29,33
499,2,8,7,7,13,13,13,13,22,37,29,33
499,2,8,7,7,13,13,13,12,23,37,29,33
499,2,8,7,7,13,13,13,13,22,37,29,33
499,2,8,7,7,13,13,13,13,22,37,29,33
499,2,8,7,7,13,13,13,12,23,37,29,33
499,2,8,7,7,14,13,13,13,22,37,29,33
499,2,8,7,7,13,13,13,13,22,37,29,33
499,2,8,7,7,13,12,13,12,23,37,29,33
499,2,8,7,7,13,13,13,13,22,37,29,33
549,3,5,9,7,9,13,15,11,29,26,32,37
549,3,5,9,7,9,13,15,11,29,26,32,37
549,3,5,9,7,9,13,15,11,29,26,32,37
549,3,5,9,7,9,13,15,11,29,26,32,37
549,3,4,10,8,8,13,15,11,29,26,32,37
549,3,5,9,7,9,14,15,11,29,26,32,37
549,3,5,9,7,9,14,15,11,29,26,32,37
549,3,5,9,7,9,14,15,11,29,26,32,37
549,3,5,9,7,9,13,15,11,29,26,32,37
549,3,5,9,7,9,13,15,11,29,26,32,37
549,3,5,9,8,8,13,15,11,29,26,32,37
549,3,5,9,7,9,14,15,11,29,26,32,37
549,3,5,9,7,9,13,15,11,29,26,32,37
549,3,5,9,7,9,13,15,11,29,26,32,37
549,3,5,9,7,9,13,15,11,29,26,32,37
622,2,6,8,8,10,10,13,23,22,21,32,38
622,2,6,7,9,10,10,12,22,23,21,32,38
622,2,6,7,9,10,10,12,22,23,21,32,38
622,2,6,7,9,10,10,12,22,23,21,32,38
622,2,6,7,9,10,10,12,23,22,21,32,38
622,2,6,8,8,10,10,13,22,23,21,32,38
622,2,6,8,8,10,10,13,22,23,21,32,38
622,2,6,8,8,10,10,12,23,22,21,32,38
622,2,6,8,8,10,10,13,23,22,21,32,38
622,2,6,7,9,10,10,13,22,23,21,32,38
622,2,6,7,9,10,10,12,22,23,21,32,38
622,2,6,8,8,10,10,13,22,23,21,32,38
622,2,6,8,8,10,10,12,22,23,21,32,38
622,2,6,8,8,10,10,13,22,23,21,32,38
622,2,6,7,9,10,10,13,22,23,21,32,38
649,2,8,4,12,10,7,18,17,22,28,35,38
649,2,8,4,12,10,7,18,17,22,28,35,37
649,2,8,4,12,10,7,18,17,22,28,35,37
649,2,8,4,12,10,7,18,17,22,28,35,37
